id,pop,sex.gonads,sex.x,oto_age,length,weight,sex.y,age_f,spawned,date_capture,capture_site_name,natal_region,hatchery,capt_region,stocked,Fin.clip.tube.label,Scientific.Name,Field.Season,INPUT..BY,INPUT.DATE,SITE.NUMBER,System,Site.Name,Site.Code,lat,long,Date.Start..DD.MM.YYYY.,Collector_1,Collector.2,TOTAL.LENGTH..mm.....for.each.individual.animal..,WEIGHT..gms.....for.each.individual.animal.,Age,Sex,S.AV.BQtage,Gonad.wt.g.,Disease.Parasites.Deformity,Sacraficed,Recapture,Genetics.No.,DNA.ref..Keller,Tag.Type_1,Tag.Colour_1,Tag.Number_1,Tag.Date_1,Tag.Lost_1,Tag.Type_2,Tag.Colour_2,Tag.Number_2,Tag.Date_2,Tag.Lost_2,Tag.Type_3,Tag.Colour_3,Tag.Number_3,Tag.Date_3,Tag.Lost_3,General.Comments.relating.to.fauna,Max.Depth..m...of.sample.area.,Ave....Depth..m...of.sample.area.,Depth.recorded.at..m.,EC.uS.cm..at.water.temp..,EC.uS.cm..at25.oC.,Temp..oC,DO..mg.L.,DO....,pH,Turbidity..NTU.,Secchi.Depth..m.,Hardness..as.CaCO3.,Oto.Vial,Comments.on.sampling.site,Plate.No..2018,Row,Column,SARDI.AGE,Fin.clip.tube.label.2,K_fas_comment,id.1,Fin.clip.tube.label.1,Genetics.No..1,Tag.Number_1.1,fas_Fin.clip.tube.label,fas_System,fas_Date.Start..DD.MM.YYYY.,fas_Sex,fas_Genetics.No.,fas_Tag.Number_1,fas_Oto.Vial,fas_FAS.Species,FAS_Batch,FAS_Specimen,fas_Combined.FAS.Code,fas_Original.client.reference,DOC,Otolith.wgt,Comments.1,Comments.2,Original.client.referance,Comments,Comments2,Supplier,Sample_Type,Reader,Reading,Readability,Age.1,Edge_Type,Comments.3,Primordium,ZL_1,ZL_2,ZL_3,ZL_4,ZL_5,ZL_6,ZL_7,ZL_8,ZL_9,ZL_10,ZL_11,ZL_12,ZL_13,ZL_14,ZL_15,ZL_16,ZL_17,ZL_18,ZL_19,ZL_20,ZL_21,ZL_22,ZL_23,ZL_24,ZL_25,ZL_26,ZL_27,ZL_28,ZL_29,ZL_30,Edge,fish_id,sp_id,site_id,microchem_id,tag_id,length.1,weight.1,sex.y.1,age_f.1,spawned.1,date_capture.1,capture_site_name.1,natal_region.1,hatchery.1,capt_region.1
GOP640,GUNBOWER,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,GP 2018 # GP 869,Macquaria ambigua,2017-2018,,,,Gunbower Creek,Fished a 2700 metre section downstream Cohuna weir.,Cohuna,-35.80275,144.22543,19/4/2018,Jason Lieschke; John Mahoney,,353,692,,,,NA,NA,,NA,GP 2018 # GP 869,,,,,,NA,,NA,NA,NA,NA,,NA,,NA,NA,,4.5,1.5,0.2,NA,115,17.7,8.53,90,7.6,13.5,0.6,NA,,,4,H,4,NA,GP 2018 # GP 869,,GOP640,GP 2018 # GP 869,GP 2018 # GP 869,,,,,,,,,NA,,NA,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GOP448,MACQUARIE,F,F,2,310,396,female,2,2015,5/6/2018,trangie ski hole,hatchery,Granite,macquarie,YES,GP716,Macquaria ambigua,2017-2018,,,,Macquarie,Trangie Ski Hole,,-31.98735,148.17982,5/6/2018,DSM,,310,396,,F,2a,1.1,NA,,NA,GP716,,Dart,,207718,,NA,,NA,NA,NA,NA,,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,,2,D,4,NA,GP716,,GOP448,GP716,GP716,207718,GP716,Macquarie,5/6/2018,F,GP716,207718,30,15,87,18,15_87_18,30,5/6/2018,0.185,,GP716,30,,,DELWP,Sectioned otolith,K.Krusic-Golub,1,2,2,WT,,0,0.529,0.918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21,214-30,MAC AMB,214,mqrgp30,207718,310,396,female,2,2015,5/6/2018,trangie ski hole,hatchery,Granite,macquarie
GOP459,MACQUARIE,F,F,7,453,1409,female,7,2010,6/6/2018,ds gin gin weir,hatchery,Granite,macquarie,YES,GP697,Macquaria ambigua,2017-2018,,,,Macquarie,DS Gin Gin Weir,,-31.93445,148.14009,6/6/2018,DSM,,453,1409,,F,3,65.6,NA,,NA,GP697,,Dart,,207730,,NA,,NA,NA,NA,NA,,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,,2,G,5,NA,GP697,,GOP459,GP697,GP697,207730,GP697,Macquarie,6/6/2018,F,GP697,207730,46,15,87,29,15_87_29,46,6/6/2018,0.461,,GP697,46,,,DELWP,Sectioned otolith,K.Krusic-Golub,1,2,7,WT,,0,0.445,0.849,1.156,1.421,1.609,1.733,1.844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.939,213-46,MAC AMB,213,mqrgp46,207730,453,1409,female,7,2010,6/6/2018,ds gin gin weir,hatchery,Granite,macquarie
GOP458,MACQUARIE,M,M,7,405,1069,male,7,2010,6/6/2018,ds gin gin weir,hatchery,Murrumbidgee,macquarie,YES,GP702,Macquaria ambigua,2017-2018,,,,Macquarie,DS Gin Gin Weir,,-31.93445,148.14009,6/6/2018,DSM,,405,1069,,M,3,3.4,NA,,NA,GP702,,Dart,,207725,,NA,,NA,NA,NA,NA,,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,,2,F,5,NA,GP702,,GOP458,GP702,GP702,207725,GP702,Macquarie,6/6/2018,M,GP702,207725,44,15,87,28,15_87_28,44,6/6/2018,0.329,,GP702,44,,,DELWP,Sectioned otolith,K.Krusic-Golub,1,3,7,WT,not sure about first,0,0.451,0.8,1.036,1.333,1.535,1.661,1.781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.852,213-44,MAC AMB,213,mqrgp44,207725,405,1069,male,7,2010,6/6/2018,ds gin gin weir,hatchery,Murrumbidgee,macquarie
GOP607,WIMMERA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,GP 2018 # GP 851,Macquaria ambigua,2017-2018,,,,Wimmera River,Fished a 1200 metre section downstream Norton Creek confluence.,Norton Creek,-36.77859,142.06705,1/3/2018,Jason Lieschke; John Mahoney,,397,844,,,,NA,NA,,NA,GP 2018 # GP 851,,,,134680,,NA,,NA,NA,NA,NA,,NA,,NA,NA,,8.3,2.2,0.2,NA,1656,22.3,5.75,67.3,NA,7.8,0.75,NA,,,3,E,12,NA,GP 2018 # GP 851,,GOP607,GP 2018 # GP 851,GP 2018 # GP 851,134680,,,,,,,,NA,,NA,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GOP614,WIMMERA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,GP 2018 # GP 834,Macquaria ambigua,2017-2018,,,,Wimmera River,"Fished from 2700 metres dowsntream boat ramp, Jeparit Weir pool to 100 metres upstream.",Jeparit Weir,-36.13698,141.96768,27/2/2018,Jason Lieschke; John Mahoney,,458,1672,,,,NA,NA,,NA,GP 2018 # GP 834,,,,134664,,NA,,NA,NA,NA,NA,,NA,,NA,NA,,4.2,1.9,0.2,NA,4134,26,8.49,107.1,NA,10.5,NA,NA,,Note extra electrofishing seconds. Not all area fished,4,F,1,NA,GP 2018 # GP 834,,GOP614,GP 2018 # GP 834,GP 2018 # GP 834,134664,,,,,,,,NA,,NA,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GOP689,MACINTYRE,,M,4,382,920,male,4,NA,NA,NA,NA,NA,NA,,GPBR42,Macquaria ambigua,2017-2018,,,,Macintyre,Below Junction of Severn River,,-28.70031645,150.5305017,27/4/2018,GB,,382,920,,Male,,NA,NA,,NA,,,,,,,NA,,NA,NA,NA,NA,,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GPBR42,,4,A,11,NA,GPBR42,,GOP689,GPBR42,,,GPBR42,Macintyre,27/4/2018,Male,,,GPBR42,15,86,42,15_86_42,GPBR42,27/4/2018,0.302,,GPBR42,GPBR42,,,DELWP,Sectioned otolith,K.Krusic-Golub,1,3,4,WT,,0,0.426,0.904,1.21,1.472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GOP683,MACINTYRE,,F,4,339,528,female,4,NA,NA,NA,NA,NA,NA,,GPBR39,Macquaria ambigua,2017-2018,,,,Macintyre,Below Junction of Severn River,,-28.70031645,150.5305017,27/4/2018,GB,,339,528,,Female,,NA,NA,,NA,,,,,,,NA,,NA,NA,NA,NA,,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GPBR39,,4,C,10,NA,GPBR39,,GOP683,GPBR39,,,GPBR39,Macintyre,27/4/2018,Female,,,GPBR39,15,86,39,15_86_39,GPBR39,27/4/2018,0.241,,GPBR39,GPBR39,,,DELWP,Sectioned otolith,K.Krusic-Golub,1,3,4,WT,,0,0.469,0.961,1.281,1.477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GOP721,DUMARESQ,,F,4,428,1230,female,4,NA,NA,NA,NA,NA,NA,,GPBR18,Macquaria ambigua,2017-2018,,,,Dumaresq,Junction Tenterfield Crk down,,-28.96329,151.542971,4/5/2018,GB,,428,1230,Mature,Female,,NA,NA,,NA,,,,,,,NA,,NA,NA,NA,NA,,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GPBR18,,5,C,3,NA,GPBR18,,GOP721,GPBR18,,,GPBR18,Dumaresq,4/5/2018,Female,,,GPBR18,15,86,18,15_86_18,GPBR18,4/5/2018,0.382,,GPBR18,GPBR18,,,DELWP,Sectioned otolith,K.Krusic-Golub,1,2,4,WT,,0,0.627,1.014,1.314,1.603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GOP726,DUMARESQ,,F,4,405,1076,female,4,NA,NA,NA,NA,NA,NA,,GPBR40,Macquaria ambigua,2017-2018,,,,Dumaresq,Junction Tenterfield Crk down,,-28.96329,151.542971,4/5/2018,GB,,405,1076,Immature,Female,,NA,NA,,NA,,,,,,,NA,,NA,NA,NA,NA,,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GPBR40,,5,H,3,NA,GPBR40,,GOP726,GPBR40,,,GPBR40,Dumaresq,4/5/2018,Female,,,GPBR40,15,86,40,15_86_40,GPBR40,4/5/2018,0.377,,GPBR40,GPBR40,,,DELWP,Sectioned otolith,K.Krusic-Golub,1,3,4,WT,,0,0.418,0.905,1.23,1.459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GOP774,GWYDIR,,M,4,367,750,male,4,2013,14/3/2018,norwood,hatchery,Ray,gwydir,YES,White38,Macquaria ambigua,2017-2018,,,,Gwydir,Norwood,,-29.4371949,149.7854609,14/3/2018,GB,,367,NA,,,,NA,NA,,NA,,,,,,,NA,,NA,NA,NA,NA,,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GWY18#GP52,,5,H,9,NA,White38,,GOP774,White38,,,White38,Gwydir,14/3/2018,,,,GWY18#GP52,15,90,43,15_90_43,GWY18#GP52,14/3/2018,0.288,,White38,GWY18#GP52,,,DELWP,Sectioned otolith,K.Krusic-Golub,1,2,4,WT,,0,0.493,0.967,1.236,1.464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.579,255-GWY18# GP52,MAC AMB,255,gwygp52,NA,367,750,male,4,2013,14/3/2018,norwood,hatchery,Ray,gwydir
GOP685,MACINTYRE,,M,4,358,566,male,4,NA,NA,NA,NA,NA,NA,,GPBR27,Macquaria ambigua,2017-2018,,,,Macintyre,Below Junction of Severn River,,-28.70031645,150.5305017,27/4/2018,GB,,358,566,Immature,Male,,NA,NA,,NA,,,,,,,NA,,NA,NA,NA,NA,,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GPBR27,,4,E,10,NA,GPBR27,,GOP685,GPBR27,,,GPBR27,Macintyre,27/4/2018,Male,,,GPBR27,15,86,27,15_86_27,GPBR27,27/4/2018,0.267,,GPBR27,GPBR27,,,DELWP,Sectioned otolith,K.Krusic-Golub,1,2,4,WT,,0,0.535,0.942,1.199,1.515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GOP699,DUMARESQ,,F,11,542,2688,female,11,NA,NA,NA,NA,NA,NA,,GPBR09,Macquaria ambigua,2017-2018,,,,Dumaresq,Junction Tenterfield Crk down,,-28.96329,151.542971,28/4/2018,GB,,542,2688,Mature,Female,,NA,NA,,NA,,,,,,,NA,,NA,NA,NA,NA,,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GPBR09,,4,C,12,NA,GPBR09,,GOP699,GPBR09,,,GPBR09,Dumaresq,28/4/2018,Female,,,GPBR09,15,86,9,15_86_9,GPBR09,28/4/2018,0.738,,GPBR09,GPBR09,,,DELWP,Sectioned otolith,K.Krusic-Golub,1,3,11,WT,"slightly off center, perhaps inner missed",0,0.442,0.891,1.257,1.404,1.552,1.667,1.8,1.947,2.058,2.175,2.251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GOP686,MACINTYRE,,,3,292,318,,3,NA,NA,NA,NA,NA,NA,,GPBR06,Macquaria ambigua,2017-2018,,,,Macintyre,Below Junction of Severn River,,-28.70031645,150.5305017,27/4/2018,GB,,292,318,,,,NA,NA,,NA,,,,,,,NA,,NA,NA,NA,NA,,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GPBR06,,4,F,10,NA,GPBR06,,GOP686,GPBR06,,,GPBR06,Macintyre,27/4/2018,,,,GPBR06,15,86,6,15_86_6,GPBR06,27/4/2018,,,GPBR06,GPBR06,,,DELWP,Sectioned otolith,K.Krusic-Golub,1,1,3,WT,,0,0.555,0.942,1.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GOP698,DUMARESQ,,F,5,445,1462,female,5,NA,NA,NA,NA,NA,NA,,GPBR50,Macquaria ambigua,2017-2018,,,,Dumaresq,Junction Tenterfield Crk down,,-28.96329,151.542971,28/4/2018,GB,,445,1462,Mature,Female,,NA,NA,,NA,,,,,,,NA,,NA,NA,NA,NA,,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GPBR50,,4,B,12,NA,GPBR50,,GOP698,GPBR50,,,GPBR50,Dumaresq,28/4/2018,Female,,,GPBR50,15,86,50,15_86_50,GPBR50,28/4/2018,0.467,,GPBR50,GPBR50,,,DELWP,Sectioned otolith,K.Krusic-Golub,1,1,5,WT,,0,0.519,0.987,1.297,1.549,1.712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GOP718,DUMARESQ,,F,5,464,1726,female,5,NA,NA,NA,NA,NA,NA,,GPBR29,Macquaria ambigua,2017-2018,,,,Dumaresq,Junction Tenterfield Crk down,,-28.96329,151.542971,4/5/2018,GB,,464,1726,Mature,Female,,NA,NA,,NA,,,,,,,NA,,NA,NA,NA,NA,,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GPBR29,,5,H,2,NA,GPBR29,,GOP718,GPBR29,,,GPBR29,Dumaresq,4/5/2018,Female,,,GPBR29,15,86,29,15_86_29,GPBR29,4/5/2018,0.422,,GPBR29,GPBR29,,,DELWP,Sectioned otolith,K.Krusic-Golub,1,2,5,WT,,0,0.636,1.077,1.366,1.617,1.763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GOP697,DUMARESQ,,F,5,460,1662,female,5,NA,NA,NA,NA,NA,NA,,GPBR16,Macquaria ambigua,2017-2018,,,,Dumaresq,Junction Tenterfield Crk down,,-28.96329,151.542971,28/4/2018,GB,,460,1662,Mature,Female,,NA,NA,,NA,,,,,,,NA,,NA,NA,NA,NA,,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GPBR16,,4,A,12,NA,GPBR16,,GOP697,GPBR16,,,GPBR16,Dumaresq,28/4/2018,Female,,,GPBR16,15,86,16,15_86_16,GPBR16,28/4/2018,0.437,,GPBR16,GPBR16,,,DELWP,Sectioned otolith,K.Krusic-Golub,1,2,5,WT,,0,0.628,1.116,1.445,1.624,1.774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GOP723,DUMARESQ,,F,5,440,1488,female,5,NA,NA,NA,NA,NA,NA,,GPBR01,Macquaria ambigua,2017-2018,,,,Dumaresq,Junction Tenterfield Crk down,,-28.96329,151.542971,4/5/2018,GB,,440,1488,Immature,Female,,NA,NA,,NA,,,,,,,NA,,NA,NA,NA,NA,,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GPBR01,,5,E,3,NA,GPBR01,,GOP723,GPBR01,,,GPBR01,Dumaresq,4/5/2018,Female,,,GPBR01,15,86,1,15_86_1,GPBR01,4/5/2018,0.499,,GPBR01,GPBR01,,,DELWP,Sectioned otolith,K.Krusic-Golub,1,1,5,WT,,0,0.641,1.122,1.422,1.624,1.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GOP724,DUMARESQ,,F,5,467,2302,female,5,NA,NA,NA,NA,NA,NA,,GPBR48,Macquaria ambigua,2017-2018,,,,Dumaresq,Junction Tenterfield Crk down,,-28.96329,151.542971,4/5/2018,GB,,467,2302,Mature,Female,,NA,NA,,NA,,,,,,,NA,,NA,NA,NA,NA,,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GPBR48,,5,F,3,NA,GPBR48,,GOP724,GPBR48,,,GPBR48,Dumaresq,4/5/2018,Female,,,GPBR48,15,86,48,15_86_48,GPBR48,4/5/2018,0.455,,GPBR48,GPBR48,,,DELWP,Sectioned otolith,K.Krusic-Golub,1,2,5,WT,,0,0.67,1.187,1.458,1.644,1.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GOP716,DUMARESQ,,F,7,472,1780,female,7,NA,NA,NA,NA,NA,NA,,GPBR17,Macquaria ambigua,2017-2018,,,,Dumaresq,Junction Tenterfield Crk down,,-28.96329,151.542971,4/5/2018,GB,,472,1780,Immature,Female,,NA,NA,,NA,,,,,,,NA,,NA,NA,NA,NA,,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GPBR17,,5,F,2,NA,GPBR17,,GOP716,GPBR17,,,GPBR17,Dumaresq,4/5/2018,Female,,,GPBR17,15,86,17,15_86_17,GPBR17,4/5/2018,0.578,,GPBR17,GPBR17,,,DELWP,Sectioned otolith,K.Krusic-Golub,1,2,7,WT,,0,0.557,0.957,1.302,1.602,1.778,1.931,2.056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GOP722,DUMARESQ,,F,7,432,1302,female,7,NA,NA,NA,NA,NA,NA,,GPBR47,Macquaria ambigua,2017-2018,,,,Dumaresq,Junction Tenterfield Crk down,,-28.96329,151.542971,4/5/2018,GB,,432,1302,Mature,Female,,NA,NA,,NA,,,,,,,NA,,NA,NA,NA,NA,,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GPBR47,,5,D,3,NA,GPBR47,,GOP722,GPBR47,,,GPBR47,Dumaresq,4/5/2018,Female,,,GPBR47,15,86,47,15_86_47,GPBR47,4/5/2018,0.513,,GPBR47,GPBR47,,,DELWP,Sectioned otolith,K.Krusic-Golub,1,2,7,WT,,0,0.478,0.89,1.208,1.426,1.649,1.822,2.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GOP735,GINGHAM,,,12,371,638,NA,12,2005,15/2/2018,gingham water course,hatchery,SEQ,gwydir,NO,GPEWR'18#GP633,Macquaria ambigua,2017-2018,,,,Gingham,Gingham Water Course,,-29.4197086,149.7563467,15/2/2018,GB,,400,NA,,,,NA,NA,,NA,,,,,,,NA,,NA,NA,NA,NA,,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GWY18#GP12,,5,A,5,NA,GPEWR'18#GP633,,GOP735,GPEWR'18#GP633,,,GPEWR'18#GP633,Gingham,15/2/2018,,,,GWY18#GP12,15,90,12,15_90_12,GWY18#GP12,15/2/2018,0.545,,GPEWR'18#GP633,GWY18#GP12,,,DELWP,Sectioned otolith,K.Krusic-Golub,1,2,12,WT,,0,0.465,0.981,1.224,1.492,1.622,1.855,2.023,2.155,2.29,2.422,2.542,2.677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.724,251-GWY18# GP23,MAC AMB,251,gwygp23,NA,371,638,NA,12,2005,15/2/2018,gingham water course,hatchery,SEQ,gwydir
GOP736,GINGHAM,,M,6,376,638,male,6,NA,15/2/2018,gingham water course,NA,NA,NA,,GPEWR'18#GP634,Macquaria ambigua,2017-2018,,,,Gingham,Gingham Water Course,,-29.4197086,149.7563467,15/2/2018,GB,,350,NA,,,,NA,NA,,NA,,,,,,,NA,,NA,NA,NA,NA,,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GWY18#GP13,,5,B,5,NA,GPEWR'18#GP634,,GOP736,GPEWR'18#GP634,,,GPEWR'18#GP634,Gingham,15/2/2018,,,,GWY18#GP13,15,90,13,15_90_13,GWY18#GP13,15/2/2018,0.325,,GPEWR'18#GP634,GWY18#GP13,,,DELWP,Sectioned otolith,K.Krusic-Golub,1,2,6,NT,,0,0.481,0.787,1.159,1.397,1.547,1.691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GOP742,GINGHAM,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,GPEWR'18#GP635,Macquaria ambigua,2017-2018,,,,Gingham,Gingham Water Course,,-29.4197086,149.7563467,15/2/2018,GB,,403,NA,,,,NA,NA,,NA,,,,,,,NA,,NA,NA,NA,NA,,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GWY18#GP14,,5,H,5,NA,GPEWR'18#GP635,,GOP742,,,,,,,,,,,NA,,NA,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GOP746,GINGHAM,,M,3,390,421,male,3,NA,15/2/2018,gingham water course,NA,NA,NA,,GPEWR'18#GP636,Macquaria ambigua,2017-2018,,,,Gingham,Gingham Water Course,,-29.4197086,149.7563467,15/2/2018,GB,,413,NA,,,,NA,NA,,NA,,,,,,,NA,,NA,NA,NA,NA,,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GWY18#GP15,,5,D,6,NA,GPEWR'18#GP636,,GOP746,GPEWR'18#GP636,,,GPEWR'18#GP636,Gingham,15/2/2018,,,,GWY18#GP15,15,90,14,15_90_14,GWY18#GP15,15/2/2018,0.192,,GPEWR'18#GP636,GWY18#GP15,,,DELWP,Sectioned otolith,K.Krusic-Golub,1,1,3,WT,,0,0.566,0.95,1.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
