"","BROKEN","CAMPASPE","DUMARESQ","EDWARD-WAKOOL","GINGHAM","GOULBURN","GUNBOWER","GWYDIR","L_MURRAY","LODDON_PYRAMID","LOWER_DARLING","MACINTYRE","MACQUARIE","MULLAROO_LINDSAY","MURRAY-Barmah","MURRAY-dsYarrawonga","MURRAY-mid","MURRUMBIDGEE","SEVERN","UPPER_DARLING","WIMMERA"
"X223022.30..",0.2,0.0811,0.1579,0.0909,0.24,0.0667,0.1,0.2727,0.05,0,0.2,0.2,0.075,0.1429,0,0.0741,0.1176,0.0256,0,0.1333,0.0435
"X223586.7..",0,0,0.1053,0.1818,0,0,0,0.0455,0,0,0.0333,0.05,0,0.0714,0.2,0.1111,0.0147,0.0256,0,0,0
"X225657.26..",0.24,0.2,0.2632,0.3636,0.2174,0.4,0.5,0.4091,0.3,0.3704,0.4,0.55,0.3,0.5,0,0.4815,0.3971,0.3947,0.2727,0.4667,0.4348
"X226389.44..",0.6,0.4595,0.4211,0.4545,0.375,0.4333,0.55,0.381,0.4,0.3333,0.5,0.45,0.575,0.5,0,0.5556,0.5,0.5641,0.4545,0.5517,0.4348
"X226526.37..",0.04,0.0811,0,0.0909,0.04,0.0333,0,0.0455,0,0.0741,0.0333,0.15,0.025,0.0714,0.1667,0.0741,0.0294,0.0513,0,0.1,0.087
"X227474.32..",0.28,0.1429,0.4211,0.4545,0.5652,0.5,0.3,0.3636,0.35,0.1852,0.2667,0.35,0.225,0.2143,0.3333,0.2593,0.3088,0.4211,0.2727,0.4667,0.2609
"X229434.62..",0.2,0.1143,0,0,0.1739,0.1333,0.05,0.1364,0.05,0.1481,0.3,0.1,0.325,0.2857,0.2,0.037,0.1176,0.2632,0,0.1333,0.1304
"X230274.66..",0.4583,0.3243,0.3684,0.6364,0.6667,0.6,0.5,0.5909,0.4,0.56,0.5,0.5,0.325,0.3077,0.2,0.5926,0.5588,0.4737,0.1818,0.4483,0.4737
"X230513.12..",0.04,0.1081,0.1053,0,0.08,0.0667,0.2,0.1818,0.1,0.1481,0.0667,0.25,0.025,0,0,0.2222,0.1324,0.1026,0.0909,0.0333,0.1304
"X230933.22..",0.625,0.4286,0.1579,0.125,0.3478,0.4615,0.3333,0.1818,0.3,0.36,0.2,0.2778,0.3,0.3846,0.1667,0.3462,0.2353,0.4118,0.7273,0.3571,0.15
"X231019.49..",0.48,0.4324,0.2105,0.5455,0.5417,0.3,0.25,0.4545,0.5,0.5556,0.3667,0.35,0.425,0.3571,0.3333,0.5556,0.3235,0.3846,0.4545,0.6,0.4783
"X231097.46..",0.08,0.0278,0.1053,0,0.1667,0,0.05,0.0455,0,0,0.0333,0,0.1,0.1429,0.3333,0.037,0,0.0513,0,0.0333,0.087
"X231565.14..",0.1667,0.2,0.5263,0.3333,0.3,0.5185,0.2632,0.5,0.25,0.3462,0.4333,0.55,0.25,0.3571,0.4,0.3462,0.4478,0.4324,0.1818,0.2,0.6316
"X231627.19..",1,1,1,0.9091,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9565
"X232657.37..",0.2,0.0811,0.0526,0,0.08,0.1,0.05,0.0909,0.1,0.037,0.2,0.1,0.125,0.0714,0.1667,0.037,0.1324,0.0513,0.1818,0.1333,0.1818
"X232829.41..",0.16,0.0857,0.0526,0.1818,0.0833,0.1667,0.2,0.1364,0.25,0.1852,0.1333,0.0526,0.15,0.2143,0.2,0.1481,0.1765,0.2105,0,0.2667,0.0435
"X233559.20..",0.36,0.5405,0.3684,0.5455,0.48,0.3667,0.4,0.5,0.55,0.4074,0.5,0.5,0.325,0.7143,0.5,0.3333,0.4559,0.3333,0.5455,0.5667,0.6522
"X234215.50..",0.04,0.2973,0.2105,0.0909,0.16,0.2,0.05,0.1818,0.15,0.1481,0.1333,0.2,0.225,0.2857,0.1667,0.1481,0.1176,0.1538,0.0909,0.1,0.087
"X234260.68..",0.2,0.1351,0.1053,0.7273,0.375,0.2333,0.2,0.0909,0.3,0.2963,0.2,0.2,0.15,0.3571,0.6667,0.3704,0.2353,0.1282,0.1818,0.2,0.1304
"X234298.16..",0.4167,0.4848,0.2778,0.6667,0.5652,0.4615,0.45,0.55,0.4,0.5185,0.5667,0.45,0.525,0.7857,0.5,0.3846,0.4776,0.5263,0.8182,0.5556,0.4737
"X234470.30..",0.04,0.0541,0,0.0909,0.04,0.0667,0.2,0.0909,0.05,0,0.0333,0.2,0.025,0,0,0.0741,0.0441,0.1026,0.1818,0.0667,0.2174
"X234978.15..",0.3333,0.3243,0.3158,0.3,0.28,0.1667,0.35,0.3182,0.15,0.3333,0.1,0.15,0.3,0.3571,0.5,0.1852,0.1765,0.3333,0.0909,0.2,0.3333
"X235005.64..",0.2,0.2162,0.2105,0.1818,0.24,0.2333,0.2,0.0909,0.1,0.1481,0.2667,0.35,0.15,0.2857,0.1667,0.3333,0.25,0.2821,0.4545,0.2333,0.3043
"X235852.11..",0.1364,0.2571,0.2105,0.2727,0.375,0.1481,0.2941,0.2727,0.35,0.3704,0.2667,0.4,0.2,0.3077,0,0.1154,0.2388,0.3889,0.1818,0.3103,0.2
"X236130.40..",0.4,0.1622,0.0526,0.0909,0.16,0.2667,0,0.1364,0.1,0.2593,0.1,0.15,0.225,0.2143,0,0.2222,0.1912,0.3333,0.3636,0.2,0.2174
"X236185.13..",0.0833,0.0541,0.1579,0,0,0.037,0.1,0,0,0.037,0,0,0.05,0,0.4,0.1154,0.1194,0.0769,0,0.0333,0.1
"X236407.17..",0.12,0.1111,0,0,0,0.1333,0.05,0.0909,0,0.1111,0,0,0,0,0,0.037,0.1029,0.0526,0.1818,0.1,0.087
"X236925.26..",0.0417,0.0278,0,0.2,0,0,0.1,0.1905,0.05,0.1111,0.1,0.1579,0,0.1429,0,0.1852,0.1912,0.1579,0,0.1333,0.0476
"X237296.6..",0.64,0.4054,0.3684,0.3636,0.72,0.7,0.5263,0.6364,0.45,0.4815,0.3667,0.5,0.625,0.5714,0.5,0.5926,0.4265,0.4737,0.6364,0.5,0.5217
"X237492.35..",0,0.2857,0.2105,0.3,0.4,0.2414,0.3,0.4091,0.15,0.2593,0.3,0.1,0.15,0.4615,0.25,0.1111,0.1029,0.1579,0.0909,0.1667,0.15
"X237636.15..",0.4167,0.3333,0.4737,0.75,0.5,0.3704,0.3333,0.5238,0.55,0.44,0.4667,0.6,0.425,0.2143,0.8,0.3704,0.4478,0.4,0.1818,0.5172,0.25
"X237751.23..",0,0.0588,0,0.1429,0,0,0.0625,0,0.05,0.0385,0.0667,0,0.075,0,0,0.0385,0.0769,0,0.0909,0.1667,0.1
"X237978.52..",1,1,1,1,1,0.9655,1,1,1,1,0.9333,1,1,0.9286,1,1,0.9559,1,1,1,0.9565
"X238256.24..",0,0,0.1579,0.125,0,0,0,0,0.05,0.0455,0.0333,0,0.025,0,0.25,0.0385,0,0,0.0909,0,0
"X238649.6..",0.125,0.0833,0.0526,0.1818,0.12,0.1379,0.15,0.0909,0.05,0.1481,0.0667,0.05,0.15,0.3077,0.1667,0.037,0.1176,0.2051,0,0.0667,0.1053
"X238702.7..",0.12,0.027,0.0526,0.0909,0.12,0.0333,0.1,0.0455,0.1,0,0.1667,0.1,0.025,0.0714,0,0.037,0.0588,0.0513,0,0.0333,0.087
"X238792.48..",0.5,0.5405,0.3684,0.5,0.4783,0.4483,0.4444,0.6818,0.5,0.5185,0.4667,0.55,0.425,0.5385,0.5,0.4615,0.3231,0.5405,0.6364,0.5517,0.3333
"X238929.15..",0.44,0.6486,0.5789,0.4545,0.44,0.5333,0.35,0.6364,0.3,0.1852,0.6,0.55,0.55,0.5714,0.5,0.5926,0.5735,0.5897,0.5455,0.5333,0.5217
"X239552.37..",0.44,0.2857,0.3684,0.1,0.2727,0.36,0.25,0.3,0.3158,0.4444,0.2667,0.3333,0.2051,0.4167,0.3333,0.375,0.2308,0.2778,0.3636,0.5517,0.0526
"X239637.21..",0.125,0.027,0.0526,0.0909,0.12,0.1379,0,0.0455,0.05,0.0741,0.0667,0.1,0.1,0,0,0.037,0.0735,0.1026,0.0909,0.1,0.0455
"X240741.67..",0.0909,0.0571,0.1579,0.1667,0.2,0.0909,0.1765,0.0455,0.1,0,0.1,0.1667,0.125,0.1667,0,0,0.1194,0.0556,0.1,0.1111,0.1111
"X240987.23..",0.28,0.4324,0.3158,0.4545,0.375,0.3333,0.45,0.5455,0.5,0.3704,0.4333,0.55,0.4,0.7143,0.3333,0.4074,0.3676,0.359,0.4545,0.4667,0.5217
"X241805.51..",0,0.0541,0.2632,0.1818,0.12,0.0667,0.2,0.2727,0.05,0.1852,0.1,0.15,0.1,0,0.5,0.1111,0.1618,0.1538,0.0909,0.1333,0.087
"X242128.31..",0.44,0.5946,0.3684,0.4545,0.48,0.5,0.5,0.4545,0.65,0.6667,0.5,0.6,0.4,0.5,0.6667,0.5185,0.4853,0.4359,0.5455,0.2414,0.4783
"X242173.30..",0,0.1351,0.0526,0,0.08,0,0.15,0.1905,0.05,0,0.0667,0,0.075,0.1538,0.1667,0.0741,0.0588,0,0.0909,0.0333,0.0435
"X242802.36..",0.24,0.1081,0.2105,0,0.24,0.1,0.05,0.1818,0,0.0741,0.0667,0.05,0.1,0.0714,0.1667,0.1111,0.1029,0.1282,0.2727,0.2,0.1304
"X242911.51..",0.08,0.027,0.0526,0.0909,0,0.0333,0,0.0909,0.1,0.037,0.1,0,0.1,0.1429,0,0.037,0.0441,0.0526,0,0.1333,0.0435
"X242975.16..",0.125,0.2286,0.5789,0,0.2609,0.1333,0.2,0.0909,0.25,0.2222,0.1333,0.3,0.25,0.2143,0,0.2222,0.2239,0.2368,0.1,0.2333,0.1304
"X243384.56..",0.0435,0.2432,0.3529,0.5,0.2,0.1071,0.25,0.4545,0.3,0.32,0.3333,0.3,0.275,0.2308,0,0.4,0.3182,0.4324,0.4545,0.5517,0.1579
"X244078.50..",0.5417,0.3889,0.3158,0.3333,0.52,0.5,0.5,0.2727,0.4,0.4074,0.4333,0.2,0.35,0.5,0.6667,0.2963,0.3382,0.5833,0.3,0.6207,0.3
"X244180.60..",0.4,0.2162,0,0.0909,0.16,0.3,0.3,0.1818,0.2,0.2593,0.2667,0.1,0.45,0.1429,0,0.2963,0.25,0.2821,0.0909,0.3,0.0435
"X245103.16..",0,0.0606,0.1053,0,0.2917,0,0.1111,0.1818,0.1,0.0833,0.1333,0.2105,0.075,0.0833,0.25,0.0435,0.0469,0.0556,0.0909,0.1724,0.0588
"X245936.20..",0.28,0.2857,0.0526,0,0,0.2667,0.15,0.0455,0,0.2222,0.2,0.2,0.175,0.2857,0.1667,0.0741,0.2059,0.2895,0,0.1333,0.1739
"X245978.7..",0.0435,0,0,0,0,0.0357,0,0.0455,0.1,0.0769,0,0,0.05,0,0,0.0385,0.0149,0.027,0.0909,0.0333,0
"X246215.41..",0.5417,0.5135,0.7895,0.3333,0.6,0.4483,0.4211,0.5909,0.35,0.4231,0.4667,0.6,0.275,0.3333,0.3333,0.4815,0.5075,0.5588,0.4545,0.6667,0.6842
"X246351.59..",0.4,0.2778,0.4737,0.1818,0.3333,0.1333,0.3,0.4091,0.35,0.3333,0.3333,0.2,0.475,0.1429,0.5,0.2593,0.2647,0.359,0.2727,0.4667,0.2609
"X246441.50..",0.2174,0.3529,0.5789,0.3636,0.4286,0.3929,0.3,0.3182,0.2,0.3462,0.2667,0.45,0.35,0.4286,NA,0.4444,0.403,0.3421,0.5,0.6071,0.35
"X246513.52..",0.2083,0.0541,0.1579,0.2,0.12,0.037,0.1667,0.2273,0.05,0.1923,0.1667,0.05,0.075,0.2143,0.1667,0.0385,0.1194,0.1026,0.0909,0.2069,0.1429
"X246594.26..",0.625,0.4865,0.3158,0.6364,0.68,0.4483,0.6,0.3333,0.6,0.5185,0.3667,0.5263,0.6,0.5714,0.5,0.3704,0.5441,0.6053,0.7273,0.3667,0.4545
"X246825.31..",0.0417,0,0,0,0,0,0.1053,0,0.1,0,0.0333,0,0.025,0,0,0,0.0317,0,0,0.0345,0
"X247015.50..",0.0417,0.027,0,0,0,0.0345,0,0,0,0,0,0,0.0769,0,0,0,0.0294,0.0541,0.0909,0,0
"X247267.32..",0.52,0.3514,0.5789,0.4545,0.625,0.3,0.5,0.1818,0.5,0.4444,0.3333,0.75,0.375,0.3571,0.3333,0.2222,0.3676,0.4103,0.1818,0.3667,0.6522
"X247304.6..",0,0,0,0,0.0435,0,0.05,0.1364,0.1,0,0,0,0,0.0714,0.2,0,0.0147,0,0,0.0333,0
"X248066.8..",0.16,0.1081,0,0,0.1667,0.1,0.25,0.2273,0.25,0.0741,0,0.2,0.1,0.2143,0.3333,0.1852,0.1324,0.0769,0.2727,0.1333,0.1739
"X248215.47..",0.2174,0.1389,0.2632,0,0.3043,0.087,0,0.1364,0.1,0.2609,0.0333,0.05,0.1,0.1538,0.2,0.1739,0.1452,0.25,0.2727,0.2143,0.0526
"X248364.24..",0.4,0.1622,0.1053,0.0909,0.12,0.2667,0.15,0.0909,0.2,0.2222,0.1,0.15,0.25,0.1429,0.1667,0.2593,0.1324,0.3077,0.3636,0.1,0.2609
"X248423.41..",0.2083,0.2857,0.2105,0.0909,0.3043,0.2667,0.3,0.2727,0.25,0.1852,0.3667,0.0526,0.225,0.3571,0,0.2593,0.2941,0.2632,0,0.3333,0.3913
"X248667.34..",0.12,0.1667,0,0.1818,0.24,0.1333,0.1,0.1818,0.1,0.0741,0.2,0.1,0.175,0,0,0.1111,0.1324,0.1795,0,0.1034,0.087
"X248745.20..",0.04,0,0.1053,0,0,0.0667,0,0.1818,0.05,0.037,0,0.05,0.05,0.0714,0,0.037,0.0294,0.0256,0,0.0345,0
"X248824.22..",0.08,0.0556,0.1053,0.0909,0.1667,0.0333,0.15,0,0,0.1852,0.1333,0,0.125,0.2143,0.3333,0.0741,0.0588,0.1842,0,0.1333,0.1304
"X248884.18..",0.2083,0.3514,0.2632,0.5455,0.5,0.3103,0.1579,0.2857,0.3,0.2593,0.4,0.3158,0.2,0.2857,0.4,0.3077,0.2794,0.4615,0.6364,0.2333,0.25
"X249131.56..",0.4,0.4444,0.3158,0.7273,0.7391,0.4483,0.3,0.5909,0.5,0.5185,0.4667,0.25,0.375,0.3571,0.1667,0.3704,0.4118,0.4615,0.4545,0.5,0.4091
"X249236.25..",0.56,0.4054,0.4211,0.4545,0.6,0.4667,0.5,0.5455,0.4,0.5926,0.5667,0.55,0.525,0.5714,0.5,0.4074,0.5,0.4872,0.4545,0.6,0.4783
"X249535.6..",0.2,0.0811,0.0526,0,0.28,0.2667,0.1,0.0909,0.2,0.1852,0.1333,0,0.15,0.1429,0,0,0.1324,0.1538,0.0909,0.0333,0.087
"X249730.11..",0.24,0.1892,0.2105,0.1818,0.36,0.1333,0.1,0.2857,0.4,0.2963,0.2333,0.5263,0.275,0.2857,0.1667,0.1481,0.1765,0.3333,0.3636,0.1,0.3478
"X249824.54..",0.16,0.1892,0.2632,0.3636,0.04,0.2,0.15,0.0455,0.1,0.1481,0.0667,0.1,0.125,0.0714,0,0.1852,0.0735,0.2051,0,0.0333,0.1739
"X249943.19..",0.375,0.1714,0,0.3636,0.2,0.3333,0.1,0,0,0.3846,0.2667,0.25,0.175,0.2857,0.1667,0.2963,0.2353,0.1053,0.0909,0.2414,0.4091
"X250527.45..",0.2917,0.2973,0.5789,0.9091,0.6087,0.4,0.5,0.5909,0.4,0.2593,0.4667,0.6,0.475,0.1429,0.1667,0.5185,0.5294,0.5128,0.7273,0.5,0.3636
"X251199.54..",0.04,0.1351,0.1053,0,0.04,0.0333,0.05,0.0909,0.1,0.1481,0.0333,0.1,0.025,0.0714,0,0.037,0.0735,0,0,0.0667,0.0435
"X251939.36..",0.32,0.2432,0.1579,0.2727,0.25,0.1667,0.05,0.1364,0.25,0.2593,0.0667,0.05,0.2,0.0714,0.3333,0.2222,0.1324,0.2051,0.0909,0.1667,0.2174
"X252216.53..",0,0,0,0,0,0.0667,0.05,0.0455,0.1,0.0741,0.0333,0,0.05,0.0714,0.1667,0.037,0.0294,0.0769,0,0.0333,0.087
"X252299.63..",0.04,0.0811,0.3158,0,0.08,0.1667,0.05,0.1818,0.15,0.1111,0.2,0.15,0.1,0.0714,0.3333,0.1111,0.1324,0.1795,0.3636,0.2333,0.1304
"X252483.13..",0,0,0.0526,0.1818,0,0,0,0.0909,0,0.037,0.0667,0.1,0,0.0714,0.1667,0.037,0.0441,0,0,0.0333,0
"X253140.18..",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9853,1,1,1,1
"X254737.61..",0,0.0541,0.2632,0.1818,0,0,0,0,0,0.037,0,0,0.1,0,0,0.0741,0.0441,0.0256,0.0909,0.0667,0.3043
"X255334.21..",0.56,0.4595,0.6842,0.4545,0.52,0.4333,0.8,0.5,0.45,0.5556,0.6333,0.5,0.65,0.5714,0.6667,0.4444,0.4853,0.6667,0.1818,0.3793,0.6364
"X255675.33..",0.08,0.0541,0.1053,0,0.24,0.0333,0.05,0.0455,0,0.0741,0.1333,0.15,0.075,0.1429,0,0.1111,0.0588,0.0256,0,0.1,0.0435
"X255976.37..",0.52,0.3514,0.1579,0.1818,0.56,0.2333,0.15,0.4286,0.25,0.2963,0.2,0.15,0.325,0.2857,0.3333,0.3077,0.3529,0.2051,0.1818,0.4,0.2857
"X256028.19..",0.16,0.0286,0.1053,0,0,0.1333,0.05,0.0909,0,0.1154,0.1333,0.1176,0.1,0.0714,0,0.1111,0.0299,0.0789,0.1818,0.0667,0.2727
"X256438.23..",0.36,0.4054,0.0526,0.3636,0.64,0.2667,0.15,0.1905,0.4,0.2222,0.4,0.3,0.275,0.5,0.3333,0.3704,0.25,0.4359,0.2727,0.3333,0.3478
"X256510.33..",0,0.0541,0,0.0909,0.2,0.2,0.2,0.3182,0.2,0.1111,0.1333,0.1,0.075,0.2143,0,0.1481,0.1029,0.1282,0,0.1333,0.0435
"X257254.69..",0.04,0.1622,0.1053,0.0909,0.08,0.0667,0.05,0.1364,0,0.1852,0.1333,0.1,0.175,0.3571,0.3333,0.2963,0.1471,0.2051,0.2727,0.2333,0.2727
"X257434.50..",0.44,0.3784,0.3158,0.4545,0.72,0.3667,0.45,0.4545,0.3,0.2593,0.5667,0.7,0.325,0.6429,0.5,0.4444,0.4412,0.5128,0.4545,0.5517,0.2609
"X258282.45..",0,0,0,0,0.16,0,0,0.0909,0,0.037,0.1,0,0,0,0,0.037,0.0147,0.0513,0,0.1333,0
"X258493.23..",0.12,0.027,0.1053,0.0909,0,0.0333,0.15,0,0.05,0,0.0667,0,0,0.0714,0,0.037,0.0441,0,0,0.0667,0.0435
"X258620.56..",0.3333,0.3784,0.3158,0.1818,0.36,0.5172,0.6,0.5455,0.4,0.3704,0.5333,0.5,0.6,0.4286,0.2,0.3333,0.3971,0.6053,0.2727,0.5,0.1905
"X258907.19..",0.1739,0.3714,0.2632,0.1818,0.1739,0.2667,0.2,0.3636,0.4,0.1923,0.3,0.2222,0.25,0.3571,0.3333,0.2,0.3235,0.3243,0.3,0.2143,0.2727
"X259251.61..",0.72,0.5,0.5263,0.7273,0.7083,0.5333,0.55,0.4545,0.4,0.6667,0.4667,0.45,0.45,0.5,0.5,0.5926,0.5,0.5263,0.5455,0.6207,0.5
"X259379.47..",0.16,0.1143,0.1579,0,0.0833,0.1,0.25,0,0.05,0.1481,0.0333,0.05,0.15,0,0.1667,0.1852,0.1471,0.0769,0.0909,0.0667,0
"X259796.48..",0.125,0.0541,0,0.3333,0.0833,0.1333,0.2105,0.0455,0.25,0.1538,0,0.1,0.075,0.1429,0.1667,0.1111,0.1471,0.0769,0.3636,0.0333,0.1579
"X260631.39..",0.0417,0.027,0,0.1,0.04,0.069,0.1,0,0.15,0.037,0.1,0.2,0.1,0.0714,0.1667,0.0741,0.0735,0.0263,0,0.0667,0.1364
"X260873.58..",0.4,0.2973,0.1579,0.1818,0.4,0.2667,0.2,0.1818,0.3,0.3333,0.3667,0.3,0.3,0.4286,0.3333,0.2963,0.3088,0.3846,0.1818,0.3333,0.5217
"X260962.39..",0.0833,0,0.1579,0.2,0.12,0.1071,0.1667,0.0909,0.15,0.037,0.0333,0.15,0.05,0.0769,0.2,0.08,0.0588,0.0526,0,0.1,0.0476
"X261681.18..",0.08,0.1429,0.1579,0.1818,0.12,0.0714,0.0556,0,0,0.0741,0.0345,0.1,0.125,0.0714,0,0.0741,0.0735,0.0541,0.0909,0.1,0.0476
"X262519.29..",0.2,0.2286,0.3158,0.4545,0.28,0.2069,0.4,0.5,0.45,0.1852,0.4,0.4211,0.325,0.4286,0.6667,0.5185,0.3824,0.2368,0.2727,0.3793,0.3478
"X263446.38..",0.125,0.2973,0.2632,0.0909,0.24,0.1333,0.15,0.1818,0.3,0.1852,0.1333,0.2,0.1,0.0714,0.1667,0.1481,0.1324,0.1026,0.1818,0.2333,0.2273
"X263483.21..",0,0.2162,0.2632,0.3,0.44,0.1429,0.3158,0.3182,0.2,0.1538,0.3,0.4,0.125,0.2857,0.2,0.1481,0.2353,0.2564,0.4545,0.1724,0.2857
"X263543.55..",0.04,0.027,0,0.0909,0.2,0.1667,0.05,0.0909,0.2,0,0,0.05,0.225,0.1429,0.3333,0.1481,0.1029,0.1026,0.1818,0.1,0.1739
"X263634.34..",0.0417,0.1892,0.3158,0.4545,0.44,0.1333,0.35,0.4545,0.3,0.1481,0.2333,0.25,0.125,0.1429,0.3333,0.2593,0.2941,0.1795,0.3636,0.2333,0.3182
"X264045.68..",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X264073.21..",0.4,0.5135,0.6316,0.2727,0.4,0.4667,0.5,0.3636,0.55,0.3333,0.4,0.6842,0.35,0.4286,0.1667,0.5556,0.4265,0.3333,0.3636,0.4,0.5217
"X264923.44..",0.4167,0.4444,0.4737,0.4545,0.5909,0.4138,0.5,0.381,0.5,0.4074,0.3,0.45,0.425,0.4286,0.4,0.4815,0.3824,0.5,0.3636,0.4667,0.381
"X265089.37..",0.0417,0.027,0,0.0909,0,0.0667,0,0.0909,0.1,0.037,0.1,0.1,0.075,0,0,0.037,0.0882,0.1282,0,0.0667,0.1304
"X265259.11..",0.12,0.1351,0,0.0909,0.24,0.0333,0.1,0.0455,0.05,0.1111,0.1667,0.15,0.15,0.1429,0,0.1852,0.1176,0.0769,0,0.1667,0.2609
"X265657.37..",0.52,0.2162,0.3158,0.6364,0.4,0.4,0.4,0.4091,0.6,0.5926,0.4,0.6,0.375,0.4286,0.3333,0.3704,0.4853,0.4615,0.3636,0.6333,0.2609
"X266114.38..",0.25,0.027,0.0526,0,0.08,0.2,0.1,0.1364,0.3,0.2222,0.1,0.15,0.1,0.2857,0.1667,0.1852,0.2206,0.1579,0,0.2,0.3636
"X267137.57..",0.56,0.4595,0.5263,0.3636,0.64,0.5667,0.3,0.5,0.5,0.6296,0.6333,0.5,0.45,0.2857,0,0.5185,0.4412,0.3077,0.5455,0.5667,0.4783
"X268278.18..",0.4,0.3714,0.4211,0.3636,0.5455,0.3667,0.4,0.5,0.3,0.6296,0.4,0.3,0.45,0.3571,0.5,0.3704,0.3088,0.3684,0.4,0.4483,0.4783
"X268643.58..",0.12,0.027,0.3158,0,0.24,0.2333,0,0.0909,0.25,0.1111,0.0333,0.25,0.1,0.0714,0,0.0741,0.0588,0.0513,0.0909,0.1667,0.2609
"X268719.45..",0,0,0.1579,0,0.0417,0.0667,0.05,0.1364,0,0,0.0333,0,0.05,0,0,0.037,0,0.0263,0,0.0714,0
"X269109.23..",0.4,0.2703,0.3158,0.1818,0.6667,0.5667,0.55,0.6818,0.55,0.5926,0.4,0.2632,0.525,0.2143,0.3333,0.4074,0.3676,0.4872,0.6364,0.5667,0.5652
"X269166.62..",0,0.0811,0.2105,0,0,0,0,0.0909,0,0,0.1,0.1,0.05,0.0714,0.1667,0.037,0.0147,0.0256,0,0,0
"X269517.19..",0.52,0.4722,0.4211,0.5455,0.5652,0.4667,0.5,0.5909,0.55,0.4074,0.3667,0.7,0.4,0.4286,0.4,0.3704,0.5294,0.5526,0.5455,0.6333,0.45
"X270198.34..",0.08,0.1622,0,0.0909,0,0.0333,0.1,0,0.05,0.037,0.0333,0,0.15,0.0714,0,0.037,0.0441,0.1026,0.0909,0.0667,0.0435
"X270397.27..",0.12,0.0811,0.1579,0.1818,0.36,0.1333,0.25,0.1818,0.25,0.0741,0.2333,0.3,0.15,0.2143,0,0.2222,0.3235,0.2051,0.1818,0.2333,0.0435
"X271614.56..",0,0.1562,0.0526,0.3,0.16,0.0714,0.0625,0.3182,0.05,0.1667,0.1333,0.1579,0.2,0.1429,0,0.1111,0.2121,0.2432,0.1818,0.1034,0.2
"X271670.14..",0.2174,0.1429,0.2632,0.2222,0.2,0.2857,0.4211,0.1905,0.15,0.1154,0.1667,0.25,0.225,0.1538,0.4,0.3077,0.2537,0.2703,0.1818,0.1724,0.2
"X271941.23..",0,0.0833,0.1579,0.0909,0.1667,0.1333,0.35,0,0.1,0.1111,0.2,0.1579,0.15,0.1429,0.1667,0.0741,0.1618,0.2368,0,0.1034,0.087
"X272374.36..",0.5,0.2222,0.2105,0.2727,0.2273,0.3333,0.4211,0.1905,0.0556,0.2083,0.3103,0,0.2051,0.5,0,0.32,0.2537,0.3947,0.3,0.1724,0.3
"X272448.69..",0.48,0.4324,0.4211,0.3636,0.52,0.3,0.4,0.4091,0.7,0.6667,0.6,0.55,0.45,0.5714,0.3333,0.4074,0.3529,0.6154,0.4545,0.5333,0.5652
"X273232.13..",0.36,0.3243,0.4211,0.0909,0.24,0.2333,0.25,0.2727,0.2,0.2593,0.2667,0.25,0.125,0.3571,0.1667,0.2963,0.25,0.2051,0.2727,0.2667,0.1304
"X273306.45..",0,0,0,0.0909,0,0.0333,0.05,0,0,0.0741,0.0333,0,0.05,0,0.1667,0,0.0147,0,0,0.0333,0
"X273362.60..",0.2609,0.1892,0.2105,0.1818,0.2083,0.3214,0.2105,0.0909,0.1,0.3333,0.1333,0.15,0.15,0.1538,0.3333,0.4074,0.2687,0.2564,0.1818,0.1667,0.25
"X274120.44..",0.48,0.5135,0.3684,0.5455,0.64,0.5667,0.6,0.6364,0.55,0.4815,0.6667,0.6,0.525,0.5,0.3333,0.6296,0.4412,0.4872,0.5455,0.6207,0.3043
"X274741.11..",0.44,0.5135,0.5789,0.4545,0.5217,0.5,0.3,0.5714,0.35,0.6667,0.6,0.6,0.375,0.5714,0.5,0.5556,0.5,0.6053,0.4545,0.5714,0.4783
"X275083.53..",0.16,0.1429,0.4737,0.0909,0.4091,0.2333,0.35,0.3636,0.3,0.2222,0.1333,0.35,0.15,0.2857,0.3333,0.1481,0.25,0.1892,0.2727,0.2333,0.1739
"X275381.58..",0.0435,0.0571,0.0526,0.125,0.1304,0.0385,0,0.0455,0.05,0.0417,0.1,0,0.125,0,0,0.0741,0.0312,0.0526,0.1,0,0.0588
"X275776.67..",0.12,0.3514,0.1053,0.1818,0.28,0.2333,0.45,0.1818,0.2,0.2963,0.2667,0.25,0.3,0.2857,0.1667,0.1852,0.3088,0.3846,0.0909,0.1667,0.1304
"X277629.8..",0.08,0.3243,0,0.1818,0.08,0.2,0.05,0.1818,0.2,0.2593,0.1,0.05,0.225,0.2143,0.1667,0.1481,0.2059,0.2564,0.0909,0.1667,0.3043
"X278346.51..",0.375,0.3611,0.6316,0.5556,0.3043,0.4286,0.2105,0.1818,0.5,0.4815,0.4667,0.4,0.35,0.2857,0.1667,0.5769,0.4091,0.3846,0.4545,0.2759,0.3158
"X278453.38..",0.0435,0.0606,0.0526,0,0.0435,0.0909,0.0588,0.0455,0,0.0385,0,0.0526,0.05,0.0769,0,0.04,0.0154,0.1143,0.0909,0.0714,0
